排名,artist
1,BTS
2,BLACKPINK
3,TWICE
4,Stray Kids
5,SEVENTEEN
6,TXT
7,ENHYPEN
8,ITZY
9,Jungkook
10,(G)I-DLE
11,Red Velvet
12,aespa
13,Lisa
14,IVE
15,NCT DREAM
16,J-Hope
17,IU
18,ATEEZ
19,NCT 127
20,EXO
21,TREASURE
22,V
23,Taeyeon
24,LE SSERAFIM
25,NewJeans
26,STAYC
27,PSY
28,BIGBANG
29,MONSTA X
30,Kep1er
