Category,Requirement
Operating System,Windows 7 and higher (64 bit only)
Processor,"AMD Phenom II X2 550, 3.1GHz | Intel Pentium G4400, 3.30GHz"
Memory,2 GB RAM
Graphics,GeForce GT 650 | Radeon HD 6570
DirectX,Version 11
Network,Broadband Internet connection
