ranking,artist
1,BTS
2,BLACKPINK
3,TWICE
4,Stray Kids
5,TXT
6,IU
7,SEVENTEEN
8,ITZY
9,EXO
10,Red Velvet
11,ENHYPEN
12,NCT DREAM
13,NCT 127
14,(G)I-DLE
15,ATEEZ
16,MAMAMOO
17,Rosé
18,DAY6
19,Lisa
20,Agust D
21,MONSTA X
22,GOT7
23,LOONA
24,Taeyeon
25,Baekhyun
26,SHINee
27,aespa
28,NCT U
29,IZ*ONE
30,Jay Park
