id,comment
155,: 真的很像念經有點詭異
156,: 南無喝囉怛那哆囉夜耶
157,: 覺得蝴蝶結那款造型超級不適合一葉
158,: 歌get不太到 也許還有副主打？
159,: 沒中，我覺得歌的吵雜感跟O.O有得比
160,: 一葉不要拉筋 念經 其他都好
161,: 真的是主打念經風，我已可以想像舞台難唱
162,: 一次就中，聽了停不下來
163,: ......無語 怎麼是rap
164,: 雖然歌我是沒中 但至少是能聽完的 總比那種
165,: 覺得很讚欸 推文怎麼跟我想的不一樣XDD
166,: 可是一葉不只拉筋一次還幾乎都唸經了
167,:  一葉要黑掉了
168,: 一葉繼續神正
169,: mv拍的很好看
170,: 念經一葉
171,: mv跟造型比出道好很多
172,: 拼接風拼到讓人煩躁好太多了 不過一葉是固定
173,: 一葉：拉筋 劈腿 念經
174,: 要讓她當抬腿擔當嗎..
175,: MV是好看的，我更期待舞台
176,: 真的是念經風
177,: 笑死真的一直在拉筋
178,: 真的，放過一葉吧
179,: 很洗腦欸
180,: 歌微妙但MV真的很好看
181,: 覺得很沒特色，就一般女團的念歌洗腦
182,: 拼接風，誰唱都差不多
183,: 雖然人家是跳芭蕾，也不用一直劈腿拉筋
184,: 吧
185,: 對不起我覺得好難聽www很愛這團可是這首
186,: 完全不想聽第二次
187,: 一葉 我的經筋女神！！可以來台代言津
188,: 津蘆筍汁
189,: 讓他轉圈圈都沒反覆拉筋煩躁 超無語
190,: MV拍的非常漂亮，現在滿腦安踢踢飛蕉
191,: 比kep1er的新歌好一點而已
192,: 雖然MV拍的很好看 可是歌get不到 怪怪
193,: 的XD
194,: 一葉一直拉筋有點大材小用XD 而且畫面沒
195,: 有很好看 跳芭蕾不是很美嗎
196,: 很有西語歌的感覺 像這首
197,: 看到上面留言說念經XDDD
198,: https://youtu.be/OG4gq9fCoRE
199,: 等音放看舞台表演
200,: 一葉明明也很會跳 一直給她拉筋抬腿QQ
201,: 這個五人團帶了三個法師
202,: 好無言的曲風
203,: 一葉的流行舞技能樹在出道紀錄片裡面
204,: 評價是完全不行……
205,: 推文滿有趣的XDDDDDDDD
206,: LESSERAFIM裡面領舞應該是忙採 舞蹈社
207,: 的 然後允真還可以 其他三個就都偶像
208,: 普通水準
209,: 官方說是拉丁風，好吧，聽三次後順耳多了
210,: 是歐美現在很流行的西語風，勇於嘗
211,: 試挺好的
212,: 一葉是有芭蕾舞頂尖的個人技 算是hybe
213,: 星探抓到的特殊大物 可以增加團體風格
214,: 感覺歐美那邊會滿喜歡的?!
215,: 之前預告出來時，就有人在說很像Rosalia
216,: 的風格XD
217,: Rosalia
218,: 為什麼是高考禁歌？
219,: 正中韓國人胃口
220,: 因為腦袋會一直浮現旋律無法專心
221,: 原來是這個意思，感謝XD
222,: 想問本來就預定這時間發布嗎？有點驚訝
223,: 對 本來就這時間先公布MV
